date,state,active_cases,cured_discharged_migrated,deaths,total_confirmed_cases
2020-06-02 00:00:00,Andaman and Nicobar Islands,0,33,0,33
2020-06-02 00:00:00,Andhra Pradesh,1341,2378,64,3783
2020-06-02 00:00:00,Arunachal Pradesh,21,1,0,22
2020-06-02 00:00:00,Assam,1109,277,4,1390
2020-06-02 00:00:00,Bihar,2002,1900,24,3926
2020-06-02 00:00:00,Chandigarh,91,199,4,294
2020-06-02 00:00:00,Chhattisgarh,424,122,1,547
2020-06-02 00:00:00,Dadar Nagar Haveli,2,1,0,3
2020-06-02 00:00:00,Delhi,11565,8746,523,20834
2020-06-02 00:00:00,Goa,29,42,0,71
2020-06-02 00:00:00,Gujarat,5357,10780,1063,17200
2020-06-02 00:00:00,Haryana,1280,1055,21,2356
2020-06-02 00:00:00,Himachal Pradesh,213,122,5,340
2020-06-02 00:00:00,Jammu and Kashmir,1624,946,31,2601
2020-06-02 00:00:00,Jharkhand,358,296,5,659
2020-06-02 00:00:00,Karnataka,2028,1328,52,3408
2020-06-02 00:00:00,Kerala,708,608,10,1326
2020-06-02 00:00:00,Ladakh,34,43,0,77
2020-06-02 00:00:00,Madhya Pradesh,2922,5003,358,8283
2020-06-02 00:00:00,Maharashtra,37543,30108,2362,70013
2020-06-02 00:00:00,Manipur,72,11,0,83
2020-06-02 00:00:00,Meghalaya,14,12,1,27
2020-06-02 00:00:00,Mizoram,0,1,0,1
2020-06-02 00:00:00,Nagaland,43,0,0,43
2020-06-02 00:00:00,Odisha,852,1245,7,2104
2020-06-02 00:00:00,Puducherry,49,25,0,74
2020-06-02 00:00:00,Punjab,256,2000,45,2301
2020-06-02 00:00:00,Rajasthan,2742,6040,198,8980
2020-06-02 00:00:00,Sikkim,1,0,0,1
2020-06-02 00:00:00,Tamil Nadu,10141,13170,184,23495
2020-06-02 00:00:00,Telengana,1213,1491,88,2792
2020-06-02 00:00:00,Tripura,247,173,0,420
2020-06-02 00:00:00,Uttarakhand,730,222,6,958
2020-06-02 00:00:00,Uttar Pradesh,3015,4843,217,8075
2020-06-02 00:00:00,West Bengal,3141,2306,325,5772
2020-06-02 00:00:00,Cases being reassigned to states,6414,,,6414
2020-06-02 00:00:00,Total#,97581,"
	","
	","
	"
2020-06-02 00:00:00,,,,,
2020-06-02 00:00:00,,,,,
2020-06-02 00:00:00,,,,,
2020-06-02 00:00:00,,,,,
2020-05-31 00:00:00,Andaman and Nicobar Islands,0,33,0,33
2020-05-31 00:00:00,Andhra Pradesh,1220,2289,60,3569
2020-05-31 00:00:00,Arunachal Pradesh,3,1,0,4
2020-05-31 00:00:00,Assam,1018,163,4,1185
2020-05-31 00:00:00,Bihar,1998,1618,20,3636
2020-05-31 00:00:00,Chandigarh,96,189,4,289
2020-05-31 00:00:00,Chhattisgarh,344,102,1,447
2020-05-31 00:00:00,Dadar Nagar Haveli,2,0,0,2
2020-05-31 00:00:00,Delhi,10058,8075,416,18549
2020-05-31 00:00:00,Goa,29,41,0,70
2020-05-31 00:00:00,Gujarat,6106,9230,1007,16343
2020-05-31 00:00:00,Haryana,932,971,20,1923
2020-05-31 00:00:00,Himachal Pradesh,197,111,5,313
2020-05-31 00:00:00,Jammu and Kashmir,1405,908,28,2341
2020-05-31 00:00:00,Jharkhand,302,256,5,563
2020-05-31 00:00:00,Karnataka,1877,997,48,2922
2020-05-31 00:00:00,Kerala,624,575,9,1208
2020-05-31 00:00:00,Ladakh,31,43,0,74
2020-05-31 00:00:00,Madhya Pradesh,3104,4444,343,7891
2020-05-31 00:00:00,Maharashtra,34890,28081,2197,65168
2020-05-31 00:00:00,Manipur,54,8,0,62
2020-05-31 00:00:00,Meghalaya,14,12,1,27
2020-05-31 00:00:00,Mizoram,0,1,0,1
2020-05-31 00:00:00,Nagaland,36,0,0,36
2020-05-31 00:00:00,Odisha,762,1050,7,1819
2020-05-31 00:00:00,Puducherry,37,14,0,51
2020-05-31 00:00:00,Punjab,222,1967,44,2233
2020-05-31 00:00:00,Rajasthan,2685,5739,193,8617
2020-05-31 00:00:00,Sikkim,1,0,0,1
2020-05-31 00:00:00,Tamil Nadu,9024,12000,160,21184
2020-05-31 00:00:00,Telengana,1010,1412,77,2499
2020-05-31 00:00:00,Tripura,96,172,0,268
2020-05-31 00:00:00,Uttarakhand,642,102,5,749
2020-05-31 00:00:00,Uttar Pradesh,2834,4410,201,7445
2020-05-31 00:00:00,West Bengal,2851,1970,309,5130
2020-05-31 00:00:00,Cases being reassigned to states,5491,,,5491
2020-05-31 00:00:00,Total#,89995,"
	","
	","
	"
2020-05-31 00:00:00,,,,,
2020-05-31 00:00:00,,,,,
2020-05-31 00:00:00,,,,,
2020-05-31 00:00:00,,,,,
2020-06-06 00:00:00,Andaman and Nicobar Islands,0,33,0,33
2020-06-06 00:00:00,Andhra Pradesh,1654,2576,73,4303
2020-06-06 00:00:00,Arunachal Pradesh,44,1,0,45
2020-06-06 00:00:00,Assam,1651,498,4,2153
2020-06-06 00:00:00,Bihar,2342,2225,29,4596
2020-06-06 00:00:00,Chandigarh,77,222,5,304
2020-06-06 00:00:00,Chhattisgarh,633,244,2,879
2020-06-06 00:00:00,Dadar Nagar Haveli,13,1,0,14
2020-06-06 00:00:00,Delhi,15311,10315,708,26334
2020-06-06 00:00:00,Goa,131,65,0,196
2020-06-06 00:00:00,Gujarat,4901,13003,1190,19094
2020-06-06 00:00:00,Haryana,1439,2134,24,3597
2020-06-06 00:00:00,Himachal Pradesh,199,189,5,393
2020-06-06 00:00:00,Jammu and Kashmir,2202,1086,36,3324
2020-06-06 00:00:00,Jharkhand,464,410,7,881
2020-06-06 00:00:00,Karnataka,3090,1688,57,4835
2020-06-06 00:00:00,Kerala,973,712,14,1699
2020-06-06 00:00:00,Ladakh,48,48,1,97
2020-06-06 00:00:00,Madhya Pradesh,2734,5878,384,8996
2020-06-06 00:00:00,Maharashtra,42224,35156,2849,80229
2020-06-06 00:00:00,Manipur,91,41,0,132
2020-06-06 00:00:00,Meghalaya,19,13,1,33
2020-06-06 00:00:00,Mizoram,21,1,0,22
2020-06-06 00:00:00,Nagaland,94,0,0,94
2020-06-06 00:00:00,Odisha,996,1604,8,2608
2020-06-06 00:00:00,Puducherry,63,36,0,99
2020-06-06 00:00:00,Punjab,344,2069,48,2461
2020-06-06 00:00:00,Rajasthan,2507,7359,218,10084
2020-06-06 00:00:00,Sikkim,3,0,0,3
2020-06-06 00:00:00,Tamil Nadu,12700,15762,232,28694
2020-06-06 00:00:00,Telengana,1550,1627,113,3290
2020-06-06 00:00:00,Tripura,519,173,0,692
2020-06-06 00:00:00,Uttarakhand,860,344,11,1215
2020-06-06 00:00:00,Uttar Pradesh,3828,5648,257,9733
2020-06-06 00:00:00,West Bengal,4025,2912,366,7303
2020-06-06 00:00:00,Cases being reassigned to states,8192,,,8192
2020-06-06 00:00:00,Total#,115942,"
	","
	","
	"
2020-06-06 00:00:00,,,,,
2020-06-06 00:00:00,,,,,
2020-06-06 00:00:00,,,,,
2020-06-06 00:00:00,,,,,
2020-06-04 00:00:00,Andaman and Nicobar Islands,0,33,0,33
2020-06-04 00:00:00,Andhra Pradesh,1546,2466,68,4080
2020-06-04 00:00:00,Arunachal Pradesh,37,1,0,38
2020-06-04 00:00:00,Assam,1255,413,4,1672
2020-06-04 00:00:00,Bihar,2288,2077,25,4390
2020-06-04 00:00:00,Chandigarh,82,214,5,301
2020-06-04 00:00:00,Chhattisgarh,478,188,2,668
2020-06-04 00:00:00,Dadar Nagar Haveli,7,1,0,8
2020-06-04 00:00:00,Delhi,13497,9542,606,23645
2020-06-04 00:00:00,Goa,22,57,0,79
2020-06-04 00:00:00,Gujarat,4766,12212,1122,18100
2020-06-04 00:00:00,Haryana,1842,1089,23,2954
2020-06-04 00:00:00,Himachal Pradesh,204,150,5,359
2020-06-04 00:00:00,Jammu and Kashmir,1816,1007,34,2857
2020-06-04 00:00:00,Jharkhand,426,321,5,752
2020-06-04 00:00:00,Karnataka,2496,1514,53,4063
2020-06-04 00:00:00,Kerala,832,651,11,1494
2020-06-04 00:00:00,Ladakh,41,48,1,90
2020-06-04 00:00:00,Madhya Pradesh,2772,5445,371,8588
2020-06-04 00:00:00,Maharashtra,39944,32329,2587,74860
2020-06-04 00:00:00,Manipur,80,38,0,118
2020-06-04 00:00:00,Meghalaya,19,13,1,33
2020-06-04 00:00:00,Mizoram,13,1,0,14
2020-06-04 00:00:00,Nagaland,58,0,0,58
2020-06-04 00:00:00,Odisha,965,1416,7,2388
2020-06-04 00:00:00,Puducherry,57,25,0,82
2020-06-04 00:00:00,Punjab,300,2029,47,2376
2020-06-04 00:00:00,Rajasthan,2699,6744,209,9652
2020-06-04 00:00:00,Sikkim,2,0,0,2
2020-06-04 00:00:00,Tamil Nadu,11348,14316,208,25872
2020-06-04 00:00:00,Telengana,1365,1556,99,3020
2020-06-04 00:00:00,Tripura,295,173,0,468
2020-06-04 00:00:00,Uttarakhand,795,282,8,1085
2020-06-04 00:00:00,Uttar Pradesh,3324,5176,229,8729
2020-06-04 00:00:00,West Bengal,3583,2580,345,6508
2020-06-04 00:00:00,Cases being reassigned to states,7483,,,7483
2020-06-04 00:00:00,Total#,106737,"
	","
	","
	"
2020-06-04 00:00:00,,,,,
2020-06-04 00:00:00,,,,,
2020-06-04 00:00:00,,,,,
2020-06-04 00:00:00,,,,,
2020-05-30 00:00:00,Andaman and Nicobar Islands,0,33,0,33
2020-05-30 00:00:00,Andhra Pradesh,1150,2226,60,3436
2020-05-30 00:00:00,Arunachal Pradesh,2,1,0,3
2020-05-30 00:00:00,Assam,895,125,4,1024
2020-05-30 00:00:00,Bihar,2150,1211,15,3376
2020-05-30 00:00:00,Chandigarh,96,189,4,289
2020-05-30 00:00:00,Chhattisgarh,314,100,1,415
2020-05-30 00:00:00,Dadar Nagar Haveli,2,0,0,2
2020-05-30 00:00:00,Delhi,9142,7846,398,17386
2020-05-30 00:00:00,Goa,28,41,0,69
2020-05-30 00:00:00,Gujarat,6343,8611,980,15934
2020-05-30 00:00:00,Haryana,762,940,19,1721
2020-05-30 00:00:00,Himachal Pradesh,203,87,5,295
2020-05-30 00:00:00,Jammu and Kashmir,1261,875,28,2164
2020-05-30 00:00:00,Jharkhand,290,216,5,511
2020-05-30 00:00:00,Karnataka,1839,894,48,2781
2020-05-30 00:00:00,Kerala,577,565,8,1150
2020-05-30 00:00:00,Ladakh,31,43,0,74
2020-05-30 00:00:00,Madhya Pradesh,3042,4269,334,7645
2020-05-30 00:00:00,Maharashtra,33133,26997,2098,62228
2020-05-30 00:00:00,Manipur,51,8,0,59
2020-05-30 00:00:00,Meghalaya,14,12,1,27
2020-05-30 00:00:00,Mizoram,0,1,0,1
2020-05-30 00:00:00,Nagaland,25,0,0,25
2020-05-30 00:00:00,Odisha,829,887,7,1723
2020-05-30 00:00:00,Puducherry,37,14,0,51
2020-05-30 00:00:00,Punjab,206,1949,42,2197
2020-05-30 00:00:00,Rajasthan,2937,5244,184,8365
2020-05-30 00:00:00,Sikkim,1,0,0,1
2020-05-30 00:00:00,Tamil Nadu,8779,11313,154,20246
2020-05-30 00:00:00,Telengana,973,1381,71,2425
2020-05-30 00:00:00,Tripura,80,171,0,251
2020-05-30 00:00:00,Uttarakhand,609,102,5,716
2020-05-30 00:00:00,Uttar Pradesh,2842,4244,198,7284
2020-05-30 00:00:00,West Bengal,2736,1775,302,4813
2020-05-30 00:00:00,Cases being reassigned to states,5043,,,5043
2020-05-30 00:00:00,Total#,86422,"
	","
	","
	"
2020-05-30 00:00:00,,,,,
2020-05-30 00:00:00,,,,,
2020-05-30 00:00:00,,,,,
2020-05-30 00:00:00,,,,,
2020-06-01 00:00:00,Andaman and Nicobar Islands,0,33,0,33
2020-06-01 00:00:00,Andhra Pradesh,1268,2349,62,3679
2020-06-01 00:00:00,Arunachal Pradesh,3,1,0,4
2020-06-01 00:00:00,Assam,1083,185,4,1272
2020-06-01 00:00:00,Bihar,2084,1710,21,3815
2020-06-01 00:00:00,Chandigarh,90,199,4,293
2020-06-01 00:00:00,Chhattisgarh,382,115,1,498
2020-06-01 00:00:00,Dadar Nagar Haveli,2,0,0,2
2020-06-01 00:00:00,Delhi,10893,8478,473,19844
2020-06-01 00:00:00,Goa,28,42,0,70
2020-06-01 00:00:00,Gujarat,5822,9919,1038,16779
